# CSV-File created with merge-csv.com
# -----------------------------------------------------------

fin_year,month,state_code,state_name,district_code,district_name,Approved_Labour_Budget,Average_Wage_rate_per_day_per_person,Average_days_of_employment_provided_per_Household,Differently_abled_persons_worked,Material_and_skilled_Wages,Number_of_Completed_Works,Number_of_GPs_with_NIL_exp,Number_of_Ongoing_Works,Persondays_of_Central_Liability_so_far,SC_persondays,SC_workers_against_active_workers,ST_persondays,ST_workers_against_active_workers,Total_Adm_Expenditure,Total_Exp,Total_Households_Worked,Total_Individuals_Worked,Total_No_of_Active_Job_Cards,Total_No_of_Active_Workers,Total_No_of_HHs_completed_100_Days_of_Wage_Employment,Total_No_of_JobCards_issued,Total_No_of_Workers,Total_No_of_Works_Takenup,Wages,Women_Persondays,percent_of_Category_B_Works,percent_of_Expenditure_on_Agriculture_Allied_Works,percent_of_NRM_Expenditure,percentage_payments_gererated_within_15_days,Remarks
2025-2026,April,02,ANDHRA PRADESH,0226,KAKINADA,770942,256.707314400843,4,219,0,200,182,29195,52115,13837,90772,561,8586,2,135.783016899999,12146,13859,198477,340047,0,293997,480915,29395,133.783016899999,25699,49,32.03,16.33,100,NA
2025-2026,April,02,ANDHRA PRADESH,0203,VISAKHAPATANAM,165414,0,0,0,0,0,67,5210,0,0,4254,0,466,0,2.0420776,0,0,30887,49141,0,36259,55678,5210,2.0420776,0,57,0,0,0,NA
2025-2026,April,02,ANDHRA PRADESH,0207,GUNTUR,397285,660368.86,1,0,0,26,244,16259,1,0,69322,0,5530,0,6.6036886,1,1,87881,154037,0,136256,228260,16285,6.6036886,1,49,85.08,0,100,NA
2025-2026,April,02,ANDHRA PRADESH,0213,KURNOOL,839363,4837.77777777778,1,0,0,14,483,46664,18,3,105962,0,7521,0,0.8708,12,18,256725,503586,0,340969,648185,46678,0.8708,8,41,21.43,0,0,NA
2025-2026,April,02,ANDHRA PRADESH,0216,KONASEEMA,454947,3104.852,1,0,0,842,376,22721,5,0,113443,0,2238,0,0.1552426,4,5,146994,243830,0,233210,359564,23563,0.1552426,4,40,10.25,0,100,NA
2025-2026,April,02,ANDHRA PRADESH,0220,PALNADU,771052,85138.9267647062,1,0,0,139,489,32134,34,33,117058,0,40495,0,28.9472351000001,26,34,250514,451768,0,341969,588322,32273,28.9472351000001,19,30,26.38,0,100,NA
2025-2026,April,02,ANDHRA PRADESH,0224,TIRUPATI,633272,161076.658333333,2,0,0,36,738,37188,18,0,148832,0,31663,0,28.9937984999999,9,9,214938,384289,0,274792,474647,37224,28.9937984999999,18,47,58.34,0,100,NA
2025-2026,April,02,ANDHRA PRADESH,0204,EAST GODAVARI,466076,0,0,0,0,82,300,21504,0,0,71083,0,3206,0,0,0,0,122475,195789,0,168511,259989,21586,0,0,51,13.61,0,0,NA
2025-2026,April,02,ANDHRA PRADESH,0205,WEST GODAVARI,283320,0,0,0,0,21,406,24547,0,0,61989,0,1777,0,1.5845848,0,0,131378,226631,0,183419,301587,24568,1.5845848,0,44,0,0,0,NA
2025-2026,April,02,ANDHRA PRADESH,0216,KONASEEMA,454947,0,0,0,0,469,385,23037,0,0,113436,0,2238,0,0,0,0,146996,243804,0,232997,359214,23506,0,0,40,100,0,0,NA
